"action","num_clicks","num_click_visits"
"모든 카드 보기","967,662","798,961"
"추천 카드  선택","835,471","471,640"
"직접 등록 선택","512,310","380,006"
"검색 버튼 선택","462,150","390,434"
"테마별 카드 선택","313,994","236,080"
"배너 선택","86,855","70,566"
